time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
327680,394,831,640,0.00025,-0.6359044145792723,3.692500114440918,-0.025652872398495674,0.14404296875,0.001342635967375827,0.028319558,0.2,0.9983259439468384,116.98,2556,-0.013392189634032547,,
328192,394,832,641,0.00025,-0.6619891673326492,3.6931002140045166,-0.046467214822769165,0.11328125,0.0016713175318727735,0.022712344,0.2,0.9947580099105835,117.16,2560,-0.01589084937586449,,
328704,394,833,642,0.00025,-0.6663589030504227,3.693399667739868,-0.048915110528469086,0.16552734375,0.004808917656191625,0.04833223,0.2,0.972374677658081,117.18,2564,-0.01817197009222582,,
329216,394,834,643,0.00025,-0.6394743341952562,3.6935999393463135,-0.0310666561126709,0.1318359375,0.0021215320339251775,0.027717339,0.2,0.9919008612632751,117.14,2568,-0.01814714743522927,,
329728,394,836,644,0.00025,-0.6517256945371628,3.691499948501587,-0.033030785620212555,0.166015625,0.0030291055918496568,0.038251504,0.2,0.9892377853393555,116.92,2572,-0.020546769839711487,,
330240,394,837,645,0.00025,-0.6168337818235159,3.6909003257751465,-0.02182190679013729,0.15673828125,0.0015912890539766522,0.03713774,0.2,0.9961097240447998,116.98,2576,-0.015387950057629496,,
330752,394,838,646,0.00025,-0.6349738352000713,3.6917998790740967,-0.016655853018164635,0.16748046875,0.0022166494345583487,0.038307607,0.2,0.9933693408966064,117.14,2580,-0.019205888005672023,,
331264,394,840,647,0.00025,-0.6532842386513948,3.694700002670288,-0.028837129473686218,0.15576171875,0.0027696515280695166,0.032811243,0.2,0.9908341765403748,116.92,2584,-0.0028682166594080627,,
331776,394,841,648,0.00025,-0.6232696902006865,3.6945998668670654,-0.038609448820352554,0.166015625,0.002890925301471725,0.037760027,0.2,0.9883003234863281,116.98,2588,-0.015213186328765005,,
332288,394,842,649,0.00025,-0.6414396520704031,3.6937997341156006,-0.03670218586921692,0.16259765625,0.0022522780254803365,0.030794518,0.2,0.9938945174217224,116.66,2592,-0.01536910783033818,,
332800,394,843,650,0.00025,-0.6016589580103755,3.693399667739868,-0.04152536019682884,0.1513671875,0.0014930722863937262,0.017246615,0.2,0.9933534860610962,116.64,2596,-0.006543761002831161,,
333312,394,845,651,0.00025,-0.6051765102893114,3.693399667739868,-0.03423162177205086,0.14306640625,0.00103863876847754,0.04011086,0.2,0.997856080532074,116.4,2600,-0.015399395429994911,,
333824,394,846,652,0.00025,-0.6192514635622501,3.693199396133423,-0.008331436663866043,0.15771484375,0.000861499003804056,0.026203617,0.2,0.9985231757164001,116.32,2604,-0.017362438316922635,,
334336,394,847,653,0.00025,-0.6179510094225407,3.6930997371673584,-0.009417762979865074,0.11328125,0.0009270806767744943,0.019648552,0.2,0.9981066584587097,116.38,2608,-0.0047503212408628315,,
334848,394,849,654,0.00025,-0.6117623262107372,3.6930999755859375,-0.056867487728595734,0.12744140625,0.0013091893652017461,0.023523502,0.2,0.9965879917144775,116.28,2612,-0.013214120495831594,,
335360,394,850,655,0.00025,-0.5918740034103394,3.694500207901001,-0.04219139367341995,0.1142578125,0.0033489709348941687,0.027772417,0.2,0.9832963943481445,116.04,2616,-0.0084582285489887,,
335872,394,851,656,0.00025,-0.6200427077710629,3.6945998668670654,-0.044653624296188354,0.13330078125,0.0019124554246445769,0.024583895,0.2,0.9923668503761292,115.06,2620,-0.010532856889767572,,
336384,394,852,657,0.00025,-0.6145886313170195,3.694000244140625,-0.03732975199818611,0.1591796875,0.0012477743566705612,0.03435625,0.2,0.9966201186180115,115.02,2624,-0.017683788493741304,,
336896,394,854,658,0.00025,-0.6391218397766352,3.6949002742767334,-0.032259345054626465,0.13671875,0.0029004385833104607,0.03139878,0.2,0.9801658391952515,114.94,2628,-0.018766011868137866,,
337408,394,855,659,0.00025,-0.6347853261977434,3.6947999000549316,-0.043285053223371506,0.12353515625,0.005491475796588929,0.024747968,0.2,0.9656919836997986,115.74,2632,-0.014214772789273411,,
