time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1178,369,5.896299362182617,851,435712,119.48,3400,-0.015424364159116521,0.944126546382904,0.3017578125,-0.8332344796508551,0.2,0.04426561,-0.023796048015356064,0.03844207676593214,0.00025,,
1179,369,5.898299694061279,852,436224,119.5,3404,0.002691288886126131,0.9691656827926636,0.3291015625,-0.7504653129726648,0.2,0.047531165,-0.02970976009964943,0.03356611436174717,0.00025,,
1180,369,5.908298492431641,853,436736,120.52,3408,-0.002311076794285327,0.9717603921890259,0.291015625,-0.7766698785126209,0.2,0.06431204,-0.03537093475461006,0.028217788436450064,0.00025,,
1182,369,5.89669942855835,854,437248,121.86,3412,-0.0256014532642439,0.9135321378707886,0.24609375,-0.7798888050019741,0.2,0.051712476,-0.041568972170352936,0.03979167266516015,0.00025,,
1183,369,5.8939995765686035,855,437760,122.58,3416,-0.017073791823349893,0.9558525085449219,0.27783203125,-0.8110886458307505,0.2,0.059385747,-0.016704466193914413,0.02741998463170603,0.00025,,
1184,369,5.8968987464904785,856,438272,121.32,3420,-0.011019301979104057,0.983860969543457,0.21826171875,-0.7353935409337282,0.2,0.030524105,-0.043308429419994354,0.016196222975850105,0.00025,,
1186,369,5.907299041748047,857,438784,120.1,3424,-0.020648605277528986,0.9558886885643005,0.26123046875,-0.7174141779541969,0.2,0.046002112,-0.038860417902469635,0.024774953722953796,0.00025,,
1187,369,5.91439962387085,858,439296,119.82,3428,-0.018271863053087145,0.99405837059021,0.2080078125,-0.7327439095824957,0.2,0.053620398,-0.0512649267911911,0.005160049106052611,0.00025,,
1188,369,5.940999984741211,859,439808,120.1,3432,-0.0236251933965832,0.9501477479934692,0.25390625,-0.8674287907779217,0.2,0.053013183,-0.049122050404548645,0.033463173342170194,0.00025,,
,,,,440000,,3436,-0.010377092403359711,0.9395157098770142,0.232421875,-0.8349256869405508,0.2,0.04679756,-0.04237768426537514,0.029916197585407645,0.00025,6.239999771118164,98.0
1190,369,5.936899185180664,860,440320,119.88,,,,,,,,,,,,
1192,369,5.900399208068848,861,440832,121.18,3440,-0.01709754078183323,0.9163525104522705,0.3037109375,-0.8735777325928211,0.2,0.051973946,0.013230552896857262,0.06729175732471049,0.00025,,
1193,369,5.863699436187744,862,441344,123.28,3444,-0.013584713509771973,0.9418966770172119,0.3046875,-0.8865006752312183,0.2,0.07242818,-0.03448294475674629,0.024503013381036,0.00025,,
1194,369,5.859099864959717,863,441856,124.64,3448,0.005524689535377547,0.8620826601982117,0.365234375,-0.8491126783192158,0.2,0.07829983,0.007953889667987823,0.10545390099287033,0.00025,,
1196,369,5.81049919128418,864,442368,127.1,3452,-0.008476159418933094,0.9428822994232178,0.31689453125,-0.926619740203023,0.2,0.05768253,-0.06471072137355804,0.033772698196116835,0.00025,,
1197,369,5.811899185180664,865,442880,126.46,3456,-0.005521790881175548,0.8095983266830444,0.2578125,-0.8263388741761446,0.2,0.03584241,0.09949302673339844,0.17905897251330316,0.00025,,
1198,369,5.801699161529541,866,443392,128.62,3460,-0.009959298244211823,0.8279466032981873,0.34619140625,-0.954240296036005,0.2,0.05716239,-0.03177851065993309,0.0453465519240126,0.00025,,
1200,369,5.781699180603027,867,443904,128.98,3464,-0.014294347434770316,0.8769997358322144,0.29931640625,-0.9004065543413162,0.2,0.0559708,-0.025635482743382454,0.04202667094068602,0.00025,,
1201,369,5.786398887634277,868,444416,129.86,3468,-0.021844974195118994,0.9214683771133423,0.3115234375,-0.9362672958523035,0.2,0.051625215,-0.04436764493584633,0.033647695323452353,0.00025,,
1202,369,5.800999164581299,869,444928,130.58,3472,-0.02516940771602094,0.9559013843536377,0.23291015625,-0.8797218296676874,0.2,0.043332238,-0.06737906485795975,0.03486892092041671,0.00025,,
1204,369,5.8010993003845215,870,445440,131.9,3476,-0.029886146658100188,0.9439882040023804,0.2783203125,-0.8683698829263449,0.2,0.03657649,-0.05704406276345253,0.0265205490286462,0.00025,,
1205,369,5.8022990226745605,871,445952,131.38,3480,-0.028428694640751928,0.9488226175308228,0.32666015625,-0.9567200634628534,0.2,0.04639934,-0.056833356618881226,0.03485324600478634,0.00025,,
1206,370,5.832899570465088,872,446464,129.28,3484,-0.020348996331449598,0.9725351929664612,0.23974609375,-0.8711863625794649,0.2,0.042983532,-0.018571240827441216,0.020094958395930007,0.00025,,
1207,370,5.844199180603027,873,446976,128.6,3488,-0.027682653395459056,0.9805604815483093,0.22412109375,-0.8493119012564421,0.2,0.039525878,-0.07116403430700302,0.013161360082449391,0.00025,,
1209,370,5.841598987579346,874,447488,127.78,3492,-0.023525667435023934,0.9733887314796448,0.27490234375,-0.8752675838768482,0.2,0.05700985,-0.019898630678653717,0.015176268352661282,0.00025,,
1210,370,5.8274993896484375,875,448000,126.42,3496,-0.02196786558488384,0.9502965211868286,0.2265625,-0.954292194917798,0.2,0.035945922,-0.05554214492440224,0.03005982149625197,0.00025,,
1211,370,5.838198184967041,876,448512,128.08,3500,-0.024777960032224655,0.9373334646224976,0.28076171875,-0.9415017981082201,0.2,0.046912152,-0.04942283779382706,0.02989988651825115,0.00025,,
1213,370,5.793400287628174,877,449024,130.56,3504,0.0011074785143136978,0.9330717325210571,0.3935546875,-1.0236000064760447,0.2,0.05255747,0.00460735522210598,0.06459332851227373,0.00025,,
1214,370,5.79640007019043,878,449536,128.32,3508,-0.0024097487912513316,0.8283832669258118,0.28076171875,-0.9595407340675592,0.2,0.033647273,0.1009753867983818,0.1702221257146448,0.00025,,
1215,370,5.799798965454102,879,450048,126.98,3512,-0.017714767425786704,0.951134204864502,0.18603515625,-0.7984207067638636,0.2,0.035669148,-0.012211617082357407,0.020059249480254948,0.00025,,
1217,370,5.788499355316162,880,450560,127.12,3516,-0.024831113929394633,0.9250734448432922,0.267578125,-0.8737527523189783,0.2,0.04278907,-0.06839613616466522,0.038972661714069545,0.00025,,
1218,370,5.806499004364014,881,451072,128.44,3520,-0.020048092759680003,0.9568102359771729,0.24658203125,-0.9311591070145369,0.2,0.045255892,-0.07375673949718475,0.03776900144293904,0.00025,,
1219,370,5.7935991287231445,882,451584,129.64,3524,-0.02687065681675449,0.9857819676399231,0.1943359375,-0.925421092659235,0.2,0.025251368,-0.06849919259548187,0.013178222478018142,0.00025,,
1221,370,5.771899223327637,883,452096,130.32,3528,-0.020196716766804457,0.9663835167884827,0.25537109375,-0.9361720532178879,0.2,0.04405863,-0.05985717475414276,0.03191790176788345,0.00025,,
1222,370,5.738299369812012,884,452608,131.96,3532,-0.015084898448549211,0.9664655327796936,0.21142578125,-0.9498062487691641,0.2,0.03326794,-0.041896749287843704,0.02074870586511679,0.00025,,
1223,370,5.7497992515563965,885,453120,131.3,3536,0.014341932168463245,0.884349524974823,0.2890625,-0.8852367978543043,0.2,0.03876578,0.02930542081594467,0.17689480492845178,0.00025,,
1225,370,5.791799545288086,886,453632,130.6,3540,-0.011773828649893403,0.9665645360946655,0.23974609375,-0.8479736894369125,0.2,0.027280508,-0.051156025379896164,0.029426598135614768,0.00025,,
